"branch_id","KDO_BSI","branch_name","area_id","is_sme"
"1","ID0010016","KC BANJARMASIN LAMBUNG MANGKURAT","1","1"
"2","ID0010066","KCP PALANGKARAYA 1","1","1"
"3","ID0010123","KC MARTAPURA","1","1"
"4","ID0010124","KCP BANJARMASIN GATOT SUBROTO","1","0"
"5","ID0010125","KCP BATULICIN","1","1"
"6","ID0010126","KCP BARABAI","1","0"
"7","ID0010254","KCP BANJARMASIN SENTRA ANTASARI","1","0"
"8","ID0010286","KCP PELAIHARI","1","0"
"9","ID0010287","KCP KOTABARU","1","0"
"10","ID0010368","KC PANGKALAN BUN","1","1"
"11","ID0010377","KC TANJUNG","1","1"
"12","ID0010462","KC SAMPIT","1","1"
"13","ID0010479","KCP KAPUAS","1","0"
"14","ID0010532","KCP AMUNTAI","1","0"
"15","ID0010636","KCP MUARA TEWEH","1","0"
"16","ID0019007","KCP BANJAR KERTAK HANYAR","1","1"
"17","ID0019120","KCP TAPIN","1","0"
"18","ID0019185","KCP BANJARMASIN KAYU TANGI","1","1"
"19","ID0018009","KCP BANJARMASIN A YANI 1","1","1"
"20","ID0018048","KC PALANGKARAYA DIPONEGORO","1","1"
"21","ID0018049","KC BANJARBARU","1","1"
"22","ID0018087","KCP SUNGAI DANAU","1","0"
"23","ID0018217","KCP MARTAPURA PASAR INTAN","1","0"
"24","ID0010382","KCP BANJARBARU LANDASAN ULIN","1","0"
"25","ID0010415","KCP BARITO KUALA","1","0"
"26","ID0018332","KCP KANDANGAN","1","0"
"27","ID0010023","KC BALIKPAPAN SUDIRMAN","2","1"
"28","ID0010036","KC SAMARINDA ANTASARI","2","1"
"29","ID0010041","KC KUTAI KARTANEGARA","2","0"
"30","ID0010178","KC BONTANG","2","1"
"31","ID0010179","KC TARAKAN","2","1"
"32","ID0010295","KCP BALIKPAPAN SEPINGGAN","2","1"
"33","ID0010296","KCP BALIKPAPAN BARU","2","0"
"34","ID0010315","KCP SAMARINDA PAHLAWAN","2","0"
"35","ID0010326","KCP SANGATTA","2","0"
"36","ID0010410","KCP BALIKPAPAN KEBUN SAYUR","2","1"
"37","ID0010450","KCP SAMARINDA DI PANJAITAN","2","1"
"38","ID0010535","KCP KUTAI SENDAWAR","2","0"
"39","ID0010541","KCP PENAJAM","2","0"
"40","ID0010576","KCP SAMARINDA SUDIRMAN","2","0"
"41","ID0010642","KCP KUTAI TENGGARONG SEBERANG","2","0"
"42","ID0010648","KCP NUNUKAN","2","0"
"43","ID0019029","KCP NUSANTARA","2","0"
"44","ID0019030","KCP BALIKPAPAN SOEKARNO HATTA","2","1"
"45","ID0019154","KCP SAMARINDA BUNG TOMO","2","0"
"46","ID0019183","KCP PASER TANAH GROGOT","2","0"
"47","ID0019235","KCP BERAU","2","0"
"48","ID0018023","KCP BALIKPAPAN SUDIRMAN 1","2","1"
"49","ID0018036","KCP SAMARINDA JUANDA","2","1"
"50","ID0018204","KCP BULUNGAN","2","0"
"51","ID0018205","KCP BONTANG BARU","2","0"
"52","ID0010026","KC PONTIANAK ABDURRACHMAN","3","1"
"53","ID0010155","KC KETAPANG","3","1"
"54","ID0010156","KCP SINTANG LINTAS MELAWI","3","1"
"55","ID0010242","KCP NANGA PINOH","3","0"
"56","ID0010299","KCP PONTIANAK DIPONEGORO","3","0"
"57","ID0010370","KC SAMBAS","3","1"
"58","ID0010403","KCP PONTIANAK A YANI 1","3","0"
"59","ID0010447","KCP PONTIANAK SUNGAI JAWI","3","0"
"60","ID0010491","KCP KETAPANG MANIS MATA","3","1"
"61","ID0010525","KCP SANGGAU SUDIRMAN","3","0"
"62","ID0010548","KC SINGKAWANG","3","1"
"63","ID0019110","KCP KUBU RAYA","3","0"
"64","ID0019126","KCP PONTIANAK SIANTAN","3","0"
"65","ID0019232","KCP SANGGAU A YANI","3","0"
"66","ID0019233","KCP MEMPAWAH","3","0"
"67","ID0018037","KCP PONTIANAK A YANI 3","3","0"
"68","ID0018206","KCP PUTUSSIBAU","3","0"
"69",NULL,"AREA BALIKPAPAN","2","0"
"70",NULL,"AREA BANJARMASIN","1","0"
"71",NULL,"AREA PONTIANAK","3","0"
"72",NULL,"REGIONAL IX KALIMANTAN","4","0"
